Sex,Fur,Eyes,Eyewear,Top,Neck,Head,Mouth,Nose,Ears,Expression,Background,Music,Dance
Male,Cow,Green,Fake Eyelashes,,Bowtie (Red),,Party Horn,Gold Ring,,Mouth Open (Left),Beach,Disco Rabbit,Subtle Nod
Male,Zombie (Red),Zombie,,,VIP lanyard,Beanie,Cigarette,,FLUF Tag,Mouth Open (Right),FLUF Haus Miami 2021,FLUF Ocean,Bob
Male,Barney,Green,Sunglasses,FLUF Jacket,Bowtie (Red),Cowboy Hat,Pipe,,Steel Rings & Studs,Mouth Open (Right),Garden,Hop With Me,Side To Side
Male,Darkness,Cat (Blue),,High Vis Vest,,,Lip Piercings,,Santa Hat,Smile,Gallery,Beyond the Gates,Side Nod
Female,Black & White,Red,Shutter Glasses,Yellow Rabbit Singlet,,,,,FLUF Tag,Blank,Pass,Eating Carrots in the Dark,Groove
Male,Peppermint,Yellow,,Camo Jacket,Bowtie (Gold),Bandana,Party Horn,Bone,Steel Rings,Mouth Open (Left) + Wink,Garden,Disco Rabbit,Subtle Nod
Male,Sky,Thirties,,Boob Tube,,Army Helmet,,Steel Stud,Gold Rings,Wonder,Thank You For Having Us,Back in the Burrow,Subtle Nod
Female,Darkness,Thirties,,,Headphones,Flower Crown,,Bull Ring,Gold Studs,Blank,Mansion,Electric Carrots,Bob
Male,Candy Floss,Blue,,Flannel Jacket,Bone Necklace,Flower Crown,Cigarette,Bull Ring,,Mouth Open (Right),Beach,Ear Wobbler,Side Nod
Male,Sky,Cat (Blue),,Flannel Jacket,VIP lanyard,Pirate Hat,Carrot,Steel Stud,Steel Rings & Studs,Mouth Open (Right),Mystic Valley,Follow You,Subtle Nod
Male,Marshmellow,Cat (Brown),,High Vis Vest,Bowtie (Red),Conical Hat,,,,Grin + Wink,Markets,Hop With Me,Subtle Nod
Male,Cow,Green,Sunglasses,Leather Vest,Bone Necklace,Afro (Base),,Steel Stud,Gold Studs,Smile + Wink,Swamp,Ear Wobbler,Big Nod
Female,Peppermint,Purple,,High Vis Vest,,,,Steel Ring,Steel Studs,Blank,Garden,Dubhop,Side Nod
Female,Candy Floss,Cat (Brown),,Voxel Rabbit Singlet,Glowstick Necklace,Mullet (Base),Lollipop,Gold Ring,Steel Rings,Anger,Tiki,Hop With Me,Groove
Male,Darkness,Demon,Round Glasses,,Bone Necklace,Cowboy Hat,Carrot,Gold Stud,,Mouth Open (Right),Spaceship,Space Fluffle,Groove
Female,Pheonix,Dollars,,,Collar (Black),Mohawk (Base),,,FLUF Tag,Smile + Wink,Heaven,Follow You,Bob
Male,Tie Dye,Purple,,,Bowtie (Gold),,Joint,Diamond Stud,Steel Rings & Studs,Mouth Open (Right),Gallery,Follow You,Side Nod
Male,Honeycomb,Thirties,,Voxel Rabbit Singlet,,Afro (Base),Pipe,,FLUF Tag,Mouth Open (Right),Tiki,Desert Digging,Side To Side
Male,Peppermint,Blue,,Gold Jacket,Peace Necklace,,Lollipop,Diamond Stud,Gold Rings & Studs,Mouth Open (Left),Backalley,Desert Digging,Groove
Male,Black & White,Glowing Red,Star Glasses,Camo Jacket,Bowtie (Gold),,Lip Piercings,Steel Ring,Gold Rings,Smile,The Front,Desert Digging,Big Nod
Female,Barney,Heart (Red),,Tie Dye Singlet,Bowtie (Gold),Tuft (Black),Lollipop,,,Mouth Open (Left) + Wink,Dancing in the Shroomlight,Stardust,Side Nod
Male,Marshmellow,Brown,Aviators,Pink Jacket,Dog Tags,Mohawk (Base),Joint,Steel Stud,Steel Rings,Mouth Open (Right),Mystic Valley,Coffee and Carrots,Side To Side
Male,Blue Blood,Brown,Deal With It Glasses,,Collar (Black),Beanie,,Diamond Stud,,Grin,Dancing in the Shroomlight,L.O.V.E.,Side To Side
Male,Guernica,Green (Dilated),Designer Glasses,White Singlet,Bowtie (Red),Tuft (Black),,Bone,FLUF Tag,Blank,Gallery,Hop With Me,Side Nod
Male,Camo,Scribble,,Flannel Jacket,,Tuft (Base),Joint,Gold Stud,,Mouth Open (Right),FTW (F*ck The War),I Love FLUF,Groove
Male,Orange,Red (Dilated),,,Collar (Black),Afro (Base),Lip Piercings,,Steel Studs,Smile,Dunes,Hop On By,Round
Female,Black & White,Yellow,,,Collar (Black),,,Steel Stud,,Blank + Wink,Lambo,Hop With Me,Bob
Female,Brown,Reptile (Cream),,Puffer Jacket,FLUF Logo Chain,,Party Horn,Bull Ring,Gold Rings & Studs,Mouth Open (Left),Backalley,Desert Digging,Bob
Male,Orange,Thirties,,Puffer Jacket,,Halo,,Bull Ring,Gold Rings,Smile,Heaven,Hop On By,Round
Female,Avatar,Hypnotic,,,Headphones,,Cigarette,,Steel Studs,Mouth Open (Right),Backalley,Ear Wobbler,Groove
Male,Hawk,Brown,,Tie Dye Singlet,Glowstick Necklace,Cowboy Hat,Lollipop,,Steel Studs,Mouth Open (Left),Dunes,Ear Wobbler,Side Nod
Male,Darkness,Dead,Designer Glasses,Boob Tube,Bowtie (Red),Propeller Hat,,Bone,,Sad,Spaceship,Space Fluffle,Subtle Nod
Male,Cow,Green,Deal With It Glasses,,VIP lanyard,Sombrero,,Bone,Steel Studs,Blank,Mansion,Rabbiton,Big Nod
Male,Winter,Blue,Neon Glasses,Black FLUF Singlet,Glowstick Necklace,,,Gold Stud,Diamond Studs,Blank,Heaven,Electric Carrots,Groove
Male,Winter,Yellow,,FLUF Jacket,Bowtie (Red),,Whistle,,FLUF Tag,Mouth Open (Middle),Lambo,Rabbiton,Bob
Male,Ice Cream,Reptile (White),,,Bowtie (Red),Propeller Hat,,Diamond Stud,,Blank,Star Explorer,I Like to Party,Groove
Male,Pheonix,Yellow,,Sign My Carrot Singlet,Bowtie (Gold),,,,,Blank,Swamp,Space Fluffle,Bob
Female,Tie Dye,Heart (Red),Star Glasses,Flannel Jacket,,Bandana,,Gold Ring,Diamond Studs,Blank,Garden,Hop On By,Round
Male,Black & White,Green,,Red Balloon Singlet,Collar (Black),Pirate Hat,,Steel Ring,,Sad,Fluf Haus LA 2022,What the FLUF,Side To Side
Male,Retro,Thirties,,Yellow Rabbit Singlet,Bowtie (Black),Bandana,Party Horn,Steel Stud,Steel Rings & Studs,Mouth Open (Left) + Wink,Beach,I Love FLUF,Groove
Male,Moody Blue,Cat (Blue),,Red Balloon Singlet,,Pirate Hat,Party Horn,Bull Ring,Steel Rings,Mouth Open (Left),Heaven,Rabbiton,Big Nod
Female,Orange,Blue,Bug Eye Glasses,Gold Jacket,Bowtie (Red),Afro (Base),Pacifier,Steel Ring,Bit Ear,Mouth Open (Middle),Tiki,Floating or Flying,Round
Female,Brown,Brown,,Digital Camo Singlet,Glowstick Necklace,Beanie,Medical Mask,,,Blank,Gallery,Back in the Burrow,Big Nod
Male,Camo,Brown,,,Bowtie (Red),,,Steel Stud,,Smile + Wink,Lambo,FLUF You Up,Groove
Female,Tie Dye,Cat (Blue),Star Glasses,Black FLUF Singlet,Bowtie (Gold),,,,,Smile + Wink,Gallery,Eating Carrots in the Dark,Bob
Female,Honeycomb,Green,,Black FLUF Singlet,Glowstick Necklace,Cowboy Hat,,Bull Ring,Steel Studs,Smile + Wink,Pass,Back in the Burrow,Side To Side
Female,Brown,Brown,Fake Eyelashes,,Collar (Pink),,Cigar,,Steel Rings,Mouth Open (Right),Markets,Space Fluffle,Groove
Male,Darkness,Heart (Red),,,FLUF Logo Chain,,Carrot,,Gold Studs,Mouth Open (Right),Heaven,Desert Digging,Side Nod
Male,Smoothie,Blue,Aviators,FLUF Jacket,Peace Necklace,Afro (Base),Joint,Clown Nose,,Mouth Open (Right),Thank You For Having Us,Rabbiton,Side To Side
Male,Brown,Cat (Brown),Fake Eyelashes,Tie Dye Singlet,,,,Steel Ring,,Blank,FTW (F*ck The War),Beyond the Gates,Big Nod
Female,Winter,Blue,Round Glasses,White Singlet,Bowtie (Red),Mohawk (Base),Lip Piercings,,Steel Rings,Smile + Wink,Garden,Ear Wobbler,Subtle Nod
Male,Barney,Purple,Designer Glasses,,,,,Steel Stud,Steel Rings,Blank,Dunes,Latin Fiesta,Groove
Male,Sandy,Brown,Eye Patch,Digital Camo Singlet,,Beanie,Cigar,,,Mouth Open (Right),Tiki,Reggae Rabbits,Bob
Male,Camo,Scribble,,White Singlet,FLUF Logo Chain,,Joint,Diamond Stud,Gold Studs,Mouth Open (Right),Garden,Dubhop,Subtle Nod
Male,Sandy,Green (Dilated),Shutter Glasses,Yellow Rabbit Singlet,Peace Necklace,Mullet (Base),Cigarette,Steel Ring,Bandaged,Mouth Open (Right) + Wink,Backalley,Coffee and Carrots,Big Nod
Female,Retro,Blue,,,Bowtie (Red),,Joint,,Diamond Studs,Mouth Open (Right),Mystic Valley,Coffee and Carrots,Bob
Female,Red,Green (Dilated),,Sign My Carrot Singlet,Bowtie (Black),Devil Horns,Carrot,Gold Stud,Red Ribbon,Mouth Open (Right),FTW (F*ck The War),Let The Story Begin,Big Nod
Female,Grey,Green,Bug Eye Glasses,Voxel Rabbit Singlet,,Bandana,Lipstick,,,Sad,Dunes,I Like to Party,Bob
Female,Darkness,Purple Rings,,,Collar (Pink),,Carrot,,,Mouth Open (Right),Spaceship,Ear Wobbler,Round
Male,Brown,Brown,,,Clock Necklace,Afro (Black),Carrot,Clown Nose,Steel Rings & Studs,Mouth Open (Right),Beach,Run Rabbit,Subtle Nod
Male,Highlighter,Cat (Brown),Dive Goggles,Boob Tube,Dog Tags,,Carrot,Bull Ring,,Mouth Open (Right),The Wall,Dubhop,Subtle Nod
Female,Winter,Heart (Blue),,,FLUF Logo Chain,Tuft (Base),Cigarette,Clown Nose,Gold Rings,Mouth Open (Right) + Wink,Spaceship,Space Fluffle,Subtle Nod
Female,Orange,Green (Dilated),Fake Eyelashes,,Collar (Pink),Mullet (Orange),Lollipop,,Gold Rings,Mouth Open (Left),FTW (F*ck The War),Follow You,Side To Side
Male,Brown,Blue,Sunglasses,FLUF Jacket,Clock Necklace,Pirate Hat,,,Gold Studs,Smile + Wink,The Front,Floating or Flying,Side Nod
Male,Black & White,Green,,Flannel Jacket,,FLUF Cap,Lollipop,Bull Ring,Steel Rings,Anger,Pass,Hop On By,Side To Side
Male,Sky,Red (Dilated),,Pink Jacket,,FLUF Cap,Joint,Bull Ring,Gold Rings,Mouth Open (Right),Pass,All I Need,Bob
Male,Ice Cream,Red,,,Lei,,Lip Piercings,,Gold Rings & Studs,Smile,FLUF Haus Miami 2021,Stardust,Subtle Nod
Female,Winter,Blue,,,Tie,Flower Crown,Joint,Bull Ring,,Mouth Open (Right),Lambo,FLUF You Up,Groove
Female,Red,Heart (Red),,,Peace Necklace,Pirate Hat,,Bone,Bandaged,Sad,Gallery,Let It Go,Big Nod
Male,Darkness,Inverted,,,VIP lanyard,Army Helmet,,Diamond Stud,,Grin,Mansion,Floating or Flying,Round
Male,Orange,Brown,Round Glasses,Sign My Carrot Singlet,VIP lanyard,Mohawk (Base),Carrot,Bull Ring,Bandaged,Mouth Open (Right),FLUF Haus Miami 2021,FLUF Ocean,Side Nod
Male,Tiger,Green (Dilated),Cyberpunk Glasses,Boob Tube,,Devil Horns,Whistle,,,Mouth Open (Middle) + Wink,Star Explorer,Higher,Round
Male,Grinch,Cat (Blue),,Voxel Rabbit Singlet,Dog Tags,,,Steel Ring,Red Ribbon,Blank,Garden,Back in the Burrow,Side To Side
Male,Guernica,Brown,Sunglasses,Tie Dye Singlet,,Afro (Base),Joint,Gold Ring,Gold Rings,Mouth Open (Right),Mansion,Dubhop,Groove
Female,Orange,Cat (Brown),,,Glowstick Necklace,Afro (Ginger),Lollipop,,Steel Studs,Anger,Party House,Dubhop,Groove
Male,Brown,Blue,Aviators,,Dog Tags,,,Steel Ring,Gold Rings,Blank,Pass,Run Rabbit,Bob
Male,Peppermint,Blue,Sunglasses,,Bowtie (Black),Devil Horns,Cigarette,Steel Stud,Gold Bows,Mouth Open (Right) + Wink,The Front,Ear Wobbler,Subtle Nod
Male,Guernica,Brown,,Sign My Carrot Singlet,Collar (Black),Holographic Cap,,Bone,Steel Rings & Studs,Smile,FTW (F*ck The War),Back in the Burrow,Subtle Nod
Male,Red,Brown,Sunglasses,,Clock Necklace,Army Helmet,Cigarette,Steel Ring,Steel Rings & Studs,Mouth Open (Right),Beach,Desert Digging,Round
Female,Guernica,Blast,,,Bowtie (Black),FLUF Cap,Cigarette,,,Mouth Open (Right),FTW (F*ck The War),I Like to Party,Side Nod
Male,Kandinsky,Purple,Eye Patch,,Collar (Pink),Sun Visor,,Clown Nose,Steel Rings,Blank,Spaceship,Electric Carrots,Side To Side
Male,Orange,Cat (Blue),,High Vis Vest,Tie,Sun Visor,,Bloody,Steel Studs,Smile + Wink,Pass,FLUF You Up,Big Nod
Male,Sandy,Hypnotic,,Voxel Rabbit Singlet,Lei,Conical Hat,,Bull Ring,,Blank,Dunes,Desert Digging,Bob
Female,Darkness,Inverted,,,,Mullet (Black),Lipstick,Gold Ring,Diamond Studs,Sad,Pass,Coffee and Carrots,Big Nod
Female,Orange,Blue,,Red Balloon Singlet,Bowtie (Gold),Mohawk (Black),Lollipop,,Red Ribbon,Mouth Open (Left),Spaceship,Rabbiton,Groove
Female,Sandy,Green (Dilated),,Red Balloon Singlet,,Tennis Hat,,,Gold Bows,Sad,Markets,Space Fluffle,Round
Male,Hawk,Fire,,,Bowtie (Red),Afro (Ginger),Carrot,Bone,Steel Rings & Studs,Mouth Open (Right),Backalley,What the FLUF,Round
Male,Raspberry Ripple,Blue,Deal With It Glasses,Red Balloon Singlet,Bowtie (Gold),,Cigarette,Steel Stud,Bandaged,Mouth Open (Right),After Party,Desert Digging,Side Nod
Female,Black & White,Red,Fake Eyelashes,Red Balloon Singlet,FLUF Logo Chain,Mullet (Black),,Gold Ring,Steel Studs,Blank,Dunes,Rabbiton,Subtle Nod
Female,Raspberry Ripple,Reptile (White),,Leather Vest,Collar (Pink),,Mooncrust Pizza,Steel Stud,,Mouth Open (Middle),Heaven,Reggae Rabbits,Groove
Male,Raspberry Ripple,Green (Dilated),,,FLUF Logo Chain,Tuft (Base),,,Bandaged,Smile,FTW (F*ck The War),NFT (Instrumental),Subtle Nod
Female,Grey,Xs,,Tie Dye Singlet,Gold Dollar Chain,Tuft (Base),Cigarette,Steel Stud,Red Ribbon,Mouth Open (Right) + Wink,Beach,Disco Rabbit,Side To Side
Male,Winter,Green,,Pink Jacket,,Mohawk (Base),Pipe,Steel Ring,Gold Bows,Mouth Open (Right),Spaceship,Back in the Burrow,Side Nod
Male,Black & White,Blue,Sunglasses,Red Balloon Singlet,Collar (Pink),Pirate Hat,Whistle,Steel Ring,,Mouth Open (Middle),Mansion,I Like to Party,Bob
Female,Cow,Green (Dilated),Dive Goggles,Red Balloon Singlet,,Halo,,Steel Ring,FLUF Tag,Grin,Markets,Electric Carrots,Bob
Female,Zombie (Black),Inverted,,,Collar (Black),Beer Hat,,Steel Stud,Steel Rings,Grin + Wink,Lambo,Rabbiton,Subtle Nod
Female,Sky,Red (Dilated),,,,,Lip Piercings,Steel Stud,Gold Rings,Smile,Swamp,Space Fluffle,Side Nod
Female,Winter,Brown,Neon Glasses,,,Afro (Black),Lip Piercings,Diamond Stud,,Smile,Garden,Rabbiton,Side To Side
Female,Marshmellow,Blue,Speed Glasses,Dress,,,Lip Piercings,Bone,,Smile + Wink,Spaceship,Ear Wobbler,Groove
Female,Guernica,Green,Heart Glasses,,Peace Necklace,,,,,Blank,Mansion,Ear Wobbler,Round
Male,Marshmellow,Brown,Bug Eye Glasses,,FLUF Logo Chain,,Party Horn,,,Mouth Open (Left),Gallery,FLUF You Up,Side Nod
Female,Marshmellow,Green,Sunglasses,,Gold Chain,Mohawk (Red),Pacifier,,,Mouth Open (Middle),Beach,FLUF You Up,Subtle Nod
Male,Kandinsky,Cat (Blue),,,,Tennis Hat,Lip Piercings,Steel Stud,Gold Rings,Smile,FLUF Haus Miami 2021,Desert Digging,Bob
Female,Brown,Blue,Bug Eye Glasses,Voxel Rabbit Singlet,Collar (Black),Bandana,,Gold Stud,Steel Rings & Studs,Blank,Lambo,Follow You,Subtle Nod
Male,Grey,Green (Dilated),,Leather Vest,,Crown,Joint,Bull Ring,Steel Studs,Mouth Open (Right),ASTO Discovery Portal,Messiah,Side Nod
Female,Red,Blue,,,Headphones,Propeller Hat,Cigarette,Gold Ring,Diamond Studs,Mouth Open (Right),Mystic Valley,Run Rabbit,Side To Side
Male,Smoothie,Cat (Brown),,Voxel Rabbit Singlet,,Mohawk (Base),Joint,Gold Stud,Steel Studs,Mouth Open (Right) + Wink,Fluf Haus LA 2022,Let The Story Begin,Big Nod
Female,Zebra,Cat (Brown),,,,Flower Crown,Lollipop,Gold Ring,Steel Studs,Anger,FTW (F*ck The War),Back in the Burrow,Groove
Male,Zombie (Black),Zombie,Shutter Glasses,,,Tuft (Base),Cigar,,Gold Rings & Studs,Mouth Open (Right) + Wink,Beach,Coffee and Carrots,Subtle Nod
Male,Moody Blue,Green,Star Glasses,Gold Jacket,Bone Necklace,Birthday Hat,Pipe,Bone,Steel Rings & Studs,Mouth Open (Right),Mansion,Eating Carrots in the Dark,Side Nod
Male,Sandy,Glowing White,,Red Balloon Singlet,,Bandana,,,,Blank,Dunes,Disco Rabbit,Bob
Female,Sandy,Heart (Blue),,Dress,Collar (Black),Tennis Hat,Medical Mask,,Steel Rings,Blank,FTW (F*ck The War),Coffee and Carrots,Subtle Nod
Female,Ice Cream,Blue,Heart Glasses,Pink Jacket,,,Cigarette,Bone,,Mouth Open (Right),Dancing in the Shroomlight,Higher,Subtle Nod
Male,Red,Heart (Red),Fake Eyelashes,Tie Dye Singlet,Bowtie (Gold),Mullet (Black),Lollipop,,,Mouth Open (Left),Swamp,Beyond the Gates,Big Nod
Female,Honeycomb,Yellow,,Sign My Carrot Singlet,,Flower Crown,Lipstick,,,Blank,Fluf Haus LA 2022,Beyond the Gates,Subtle Nod
Female,Brown,Cat (Blue),Star Glasses,,Lei,Birthday Hat,Lollipop,,,Anger,FTW (F*ck The War),Follow You,Subtle Nod
Female,Peppermint,Red (Dilated),Shutter Glasses,Camo Jacket,,Bandana,,Clown Nose,Diamond Studs,Grin + Wink,Lambo,Rabbiton,Bob
Male,Black & White,Yellow,,White Singlet,Collar (Pink),Tennis Hat,,,Santa Hat,Anger,Backalley,Messiah,Bob
Male,Red,Blue,,High Vis Vest,,Birthday Hat,,,,Blank + Wink,Markets,Floating or Flying,Side Nod
Male,Camo,Scribble,Star Glasses,Flannel Jacket,,Mullet (Base),Carrot,,Steel Rings & Studs,Mouth Open (Right),Backalley,Floating or Flying,Bob
Female,Darkness,Cat (Blue),,Black FLUF Singlet,,Conical Hat,Lip Piercings,Bull Ring,,Smile,Swamp,Desert Digging,Big Nod
Female,Sandy,Brown,Designer Glasses,Digital Camo Singlet,,Conical Hat,,Gold Ring,FLUF Tag,Blank + Wink,Mansion,Run Rabbit,Subtle Nod
Male,Raspberry Ripple,Cat (Brown),Shutter Glasses,,Bone Necklace,Propeller Hat,,Bone,Gold Bows,Blank + Wink,The Wall,Back in the Burrow,Groove
Male,Candy Floss,Green,Aviators,Camo Jacket,,Tuft (Base),Whistle,Diamond Stud,,Mouth Open (Middle),Markets,Follow You,Groove
Male,Darkness,Heart (Red),,High Vis Vest,,Tennis Hat,Cigar,Bull Ring,FLUF Tag,Mouth Open (Right),Dunes,Ear Wobbler,Groove
Female,Black & White,Green,,Boob Tube,Bowtie (Red),Birthday Hat,Carrot,,Steel Studs,Mouth Open (Right),Swamp,Run Rabbit,Subtle Nod
Female,Tiger,Brown,Heart Glasses,,Bowtie (Gold),,,Steel Ring,Bit Ear,Sad,Heaven,Dubhop,Side Nod
Male,Sky,Cat (Brown),,Kimono,Headphones,FLUF Cap,,,Gold Rings,Blank,Markets,Follow You,Round
Female,Honeycomb,Dollars,,Red Balloon Singlet,,Mullet (Base),Cigarette,Steel Ring,Gold Bows,Mouth Open (Right),Backalley,What the FLUF,Groove
Male,Cheetah,Thirties,,,Gold Chain,,Tongue Out,Bull Ring,,Grin,Gallery,Rabbiton,Round
Male,Darkness,Fire,,Yellow Rabbit Singlet,,,Cigar,Steel Ring,Steel Rings,Mouth Open (Right),Backalley,Electric Carrots,Side Nod
Female,Grey,Green,Neon Glasses,,Gold Chain,,Cigarette,Steel Stud,Diamond Studs,Mouth Open (Right),Beach,I Like to Party,Big Nod
Female,Guernica,Scribble,,Digital Camo Singlet,,Birthday Hat,Lollipop,Gold Stud,Gold Bows,Mouth Open (Left),Beach,Disco Rabbit,Groove
Male,Black & White,Glowing White,Aviators,Tie Dye Singlet,Clock Necklace,Sombrero,,Bull Ring,,Sad,Heaven,Beyond the Gates,Round
Female,Zombie (Green),Zombie (Inverted),,,,Gold Cap,Pacifier,Bull Ring,Diamond Studs,Mouth Open (Middle) + Wink,Dancing in the Shroomlight,Messiah,Groove
Male,Black & White,Cat (Blue),Star Glasses,Camo Jacket,,,Lipstick,,Steel Rings & Studs,Grin,Beach,Desert Digging,Side To Side
Male,Orange,Thirties,,FLUF Jacket,,Mohawk (Black),Carrot,Steel Stud,Red Ribbon,Mouth Open (Right),Markets,Coffee and Carrots,Round
Male,Winter,Green,Shutter Glasses,Leather Vest,,Mohawk (Red),,,,Blank,Swamp,I Like to Party,Round
Male,Winter,Blue,3D Glasses,Red Balloon Singlet,Clock Necklace,,Joint,Gold Ring,,Mouth Open (Right),Mansion,Eating Carrots in the Dark,Bob
Male,Parrot,Brown,Bug Eye Glasses,,Bowtie (Red),Birthday Hat,Party Horn,Steel Ring,Gold Studs,Anger,Lambo,Follow You,Big Nod
Female,Red,Purple,,Voxel Rabbit Singlet,Greenstone,,,,Gold Bows,Smile,Mansion,Disco Rabbit,Bob
Female,Red,Brown,Bug Eye Glasses,,,,,Steel Stud,,Smile + Wink,Swamp,Back in the Burrow,Groove
Female,Highlighter,Fire,,,Gold Chain,Mohawk (Black),Whistle,,Red Ribbon,Mouth Open (Middle),Mansion,Eating Carrots in the Dark,Subtle Nod
Male,Peppermint,Purple,,Puffer Jacket,,Mullet (Black),Cigarette,Clown Nose,,Mouth Open (Right),Tiki,FLUF You Up,Side To Side
Male,Red,Hypnotic,,Digital Camo Singlet,Bowtie (Black),Sombrero,Joint,Steel Stud,,Mouth Open (Right),Gallery,Rabbiton,Subtle Nod
Female,Silver,Silver,,,,,,Silver,,Blank + Wink,Mansion,Follow You,Turn
Female,Cheetah,Green,Sunglasses,Pink Jacket,,Birthday Hat,Lipstick,Gold Stud,Gold Rings,Anger,Thank You For Having Us,I Love FLUF,Groove
Male,Raspberry Ripple,Dollars,,Kimono,Bowtie (Black),,Joint,Steel Stud,Gold Studs,Mouth Open (Right) + Wink,Markets,Ear Wobbler,Big Nod
Male,Brown,Brown,Shutter Glasses,,,Bandana,Lip Piercings,Gold Ring,,Smile + Wink,Garden,Coffee and Carrots,Subtle Nod
Male,Grey,Dollars,,Puffer Vest,Gold Chain,,Joint,,Steel Studs,Mouth Open (Right),Pass,Electric Carrots,Side Nod
Male,Sandy,Green,Fake Eyelashes,Red Balloon Singlet,Gold Chain,,,Diamond Stud,Red Ribbon,Grin + Wink,Pass,Hop With Me,Big Nod
Female,Sky,Thirties,,,Headphones,,Demon Mask,,Gold Rings & Studs,Blank + Wink,Heaven,What the FLUF,Bob
Male,Brown,Red (Dilated),Cyberpunk Glasses,Yellow Rabbit Singlet,,,,Bull Ring,Steel Studs,Blank,Spaceship,Ear Wobbler,Side To Side
Female,Sky,Brown,Bug Eye Glasses,Pink Jacket,,Halo,,,Bandaged,Blank,Gallery,Run Rabbit,Groove
Female,Guernica,Fire,,,FLUF Logo Chain,Afro (Black),Party Horn,,,Mouth Open (Left),Spaceship,What the FLUF,Big Nod
Male,Retro,Brown,,White Singlet,,Afro (Ginger),Cigarette,Steel Ring,,Mouth Open (Right) + Wink,Pre-Game,FLUF You Up,Groove
Female,Cheetah,Brown,,,Bowtie (Black),,Joint,,Steel Rings,Mouth Open (Right),Pre-Game,Run Rabbit,Side Nod
Male,Candy Floss,Green,Sunglasses,,,,,Gold Ring,Gold Rings & Studs,Smile + Wink,Backalley,Disco Rabbit,Subtle Nod
Male,Zombie (Black),Demon,,,Collar (Black),Mullet (Base),Whistle,Bull Ring,Red Ribbon,Mouth Open (Middle),Lambo,Latin Fiesta,Subtle Nod
Male,Black & White,Brown,Deal With It Glasses,Black FLUF Singlet,Bowtie (Black),,Party Horn,Gold Stud,Red Ribbon,Mouth Open (Left),Lambo,Hop On By,Bob
Male,Zombie (Grey),Zombie,,,Bowtie (Black),Tuft (Black),,Gold Stud,,Blank,Garden,Ear Wobbler,Groove
Female,Black & White,Brown,Shutter Glasses,,VIP lanyard,Sombrero,Pacifier,,,Mouth Open (Middle),Mansion,Reggae Rabbits,Subtle Nod
Male,Kanagawa,Green,Shutter Glasses,,Clock Necklace,Pirate Hat,Pipe,Clown Nose,Gold Rings,Mouth Open (Right),Spaceship,L.O.V.E.,Side Nod
Male,Ice Cream,Green,Aviators,High Vis Vest,Dog Tags,,,Bull Ring,Steel Rings & Studs,Sad,Dunes,Desert Digging,Big Nod
Male,Marshmellow,Yellow,,,Collar (Black),Birthday Hat,Pipe,Steel Ring,Gold Studs,Mouth Open (Right) + Wink,After Party,Back in the Burrow,Subtle Nod
Male,Candy Floss,Green,,Boob Tube,Lei,,Joint,,Steel Studs,Mouth Open (Right),Backalley,Reggae Rabbits,Side To Side
Female,Ice Cream,Green,Fake Eyelashes,Puffer Vest,,Mohawk (Black),Joint,Steel Ring,,Mouth Open (Right),Spaceship,Hop With Me,Side Nod
